algo,weight_combo,w1,w2,w3,mean_reward,mean_throughput,mean_latency,mean_energy
DQN,balanced,0.5,0.3,0.2,-96.99271649747314,1.9575,3790.452749578851,274.505928759925
PPO,balanced,0.5,0.3,0.2,-96.03868788606904,1.9609999999999999,3728.6702032337284,247.10864812540996
DQN,throughput_priority,0.7,0.2,0.1,241.14122705625113,1.9599999999999997,3756.3599026038455,291.87003193213934
PPO,throughput_priority,0.7,0.2,0.1,242.02048336059346,1.9600000000000002,3769.8791598515854,268.50869940397115
DQN,latency_priority,0.2,0.6,0.2,-317.0160928704624,1.951,3901.341072538535,307.04731809567545
PPO,latency_priority,0.2,0.6,0.2,-316.29785258296914,1.9545000000000001,3874.821048580762,269.09930866790864
DQN,energy_priority,0.2,0.2,0.6,-1087.0203931895053,1.95,4213.43163070963,239.07235638417
PPO,energy_priority,0.2,0.2,0.6,-1126.6385922443694,1.7395,10642.981394425637,337.63727620912056
DQN,equal,0.33,0.33,0.34,-491.626410009724,1.953,3941.8803045036243,283.1275896882138
PPO,equal,0.33,0.33,0.34,-499.46821573279146,1.9344999999999999,4855.032686786583,259.7649906990813
